country,continent,year,lifeExp,pop,gdp
Afghanistan,Asia,2002,42.129,25268405,18363410423.978592
Albania,Europe,2002,75.651,3508512,16153932129.805344
Algeria,Africa,2002,70.994,31287142,165447670333.36826
Angola,Africa,2002,41.003,10866106,30134833900.64707
Argentina,Americas,2002,74.34,38331121,337223430799.52264
Australia,Oceania,2002,80.37,19546792,599847158654.3262
Austria,Europe,2002,78.98,8148312,264148781751.7193
Bahrain,Asia,2002,74.795,656397,15362026094.15019
Bangladesh,Asia,2002,62.013,135656790,154159077920.51968
Belgium,Europe,2002,78.32,10311970,314369518653.4875
Benin,Africa,2002,54.406,7026113,9645995478.412203
Bolivia,Americas,2002,63.883,8445134,28825460794.25046
Bosnia and Herzegovina,Europe,2002,74.09,4165416,25071535764.134426
Botswana,Africa,2002,46.634,1630347,17939694531.36276
Brazil,Americas,2002,71.006,179914212,1462920751252.6248
Bulgaria,Europe,2002,72.14,7661799,58971163876.62727
Burkina Faso,Africa,2002,50.65,12251209,12712408470.32219
Burundi,Africa,2002,47.36,7021078,3134233881.438583
Cambodia,Asia,2002,56.752,12926707,11585251105.560617
Cameroon,Africa,2002,49.856,15929988,30808779174.432613
Canada,Americas,2002,79.77,31902268,1063269575825.7787
Central African Republic,Africa,2002,43.308,4048013,2990229179.3042884
Chad,Africa,2002,50.525,8835739,10215721151.49454
Chile,Americas,2002,77.86,15497046,167039309147.5071
China,Asia,2002,72.028,1280400000,3993927259238.4004
Colombia,Americas,2002,71.682,41008227,236013006965.70737
Comoros,Africa,2002,62.974,614382,660959256.627156
"Congo, Dem. Rep.",Africa,2002,44.966,55379852,13355730548.020277
"Congo, Rep.",Africa,2002,52.97,3328795,11597728065.426151
Costa Rica,Americas,2002,78.123,3834934,29618910245.310127
Cote d'Ivoire,Africa,2002,46.832,16252726,26797508004.7935
Croatia,Europe,2002,74.876,4481020,52107043452.729004
Cuba,Americas,2002,77.158,11226999,71186433969.39432
Czech Republic,Europe,2002,75.51,10256295,180471922898.3349
Denmark,Europe,2002,77.18,5374693,172885062706.98157
Djibouti,Africa,2002,53.373,447416,853786444.069672
